"claim_number","age_of_driver","gender","marital_status","safty_rating","annual_income","high_education_ind","address_change_ind","living_status","zip_code","claim_date","claim_day_of_week","accident_site","past_num_of_claims","witness_present_ind","liab_prct","channel","policy_report_filed_ind","claim_est_payout","age_of_vehicle","vehicle_category","vehicle_price","vehicle_color","vehicle_weight","fraud"
"4077","28","M","0","77","54445","0","1","Rent","80020","3/24/2015","Tuesday","Parking Lot","0",NA,"68","Online","1","6.96","2","Compact","34732.4821357847","silver","14511.94642","0"
"8621","61","M","1","83","124577","1","1","Own","80012","8/13/2015","Thursday","Local","6",NA,"11","Phone","0","0","1","Compact","15000","other","28261.6267","0"
"15605","47","F","1","62","33527","1","1","Rent","80036","12/8/2015","Tuesday","Local","0",NA,"67","Broker","0","0","1","Large","40124.3445293083","other","12960.33368","0"
"7597","42","F","0","85","123497","1","1","Own","20118","8/29/2015","Saturday","Local","0",NA,"47","Broker","1","0","3","Large","26387.1258551096","blue","16976.33182","0"
"3485","35","M","1","62","36525","1","1","Own","20111","1/24/2015","Saturday","Local","0",NA,"20","Phone","0","2827.07","8","Medium","45399.6244877968","red","15174.44761","0"
"843","41","M","0","94","43366","0","0","Rent","15021","7/11/2015","Saturday","Local","4",NA,"51","Broker","1","0","1","Compact","15000","white","23384.72556","0"
"28638","61","F","1","73","120994","1","1","Own","15052","7/5/2015","Sunday","Parking Lot","0",NA,"25","Online","1","2136.72","7","Compact","47327.8613802439","red","4132.39411","0"
"29644","52","M","1","53","114786","0","0","Own","50056","12/24/2016","Saturday","Local","20",NA,"43","Broker","0","12109.93","2","Large","17774.8443975584","gray","25044.2011","0"
"19154","36","M","1","49","115038","1","1","Rent","50002","11/30/2016","Wednesday","Local","19",NA,"0","Broker","1","0","5","Medium","34883.7532598283","silver","25709.40431","0"
"6097","62","M","1","42","121700","1","1","Own","15028","6/22/2015","Monday","Local","1",NA,"7","Phone","1","0","1","Large","57980.4589537591","silver","27992.12958","0"
"18586","52","M","1","70","61951","1","1","Rent","20111","8/20/2015","Thursday","Parking Lot","4",NA,"5","Broker","1","0","1","Medium","33503.8898871303","other","34952.38338","0"
"19589","49","M","1","64","47459","1","1","Rent","50035","5/25/2015","Monday","Local","0",NA,"49","Online","0","3817.01","5","Medium","15000","other","15786.69899","0"
"16850","53","F","0","78","90961","1","0","Rent","20153","11/23/2016","Wednesday","Local","0",NA,"21","Broker","1","864.45","3","Large","35933.9464370608","black","15736.33161","0"
"11279","32","M","1","68","67553","1","0","Own","15024","10/20/2016","Thursday","Parking Lot","0",NA,"45","Phone","1","5972.35","1","Medium","21394.8529596348","other","30153.95217","0"
"20944","38","F","0","80","121984","1","1","Rent","50022","11/9/2016","Wednesday","Local","13",NA,"76","Broker","1","0","6","Compact","38788.4474855217","white","14023.80468","0"
"10548","58","M","1","84","44626","0","1","Own","85044","9/13/2015","Sunday","Parking Lot","0",NA,"100","Phone","0","0","1","Compact","38502.613986088","silver","18692.90713","0"
"18519","36","M","1","54","62675","1","1","Own","50058","3/22/2015","Sunday","Local","9",NA,"32","Broker","0","0","10","Large","15000","white","28431.25182","0"
"10946","64","F","1","68","72417","1","1","Rent","85043","12/13/2015","Sunday","Parking Lot","0",NA,"21","Phone","1","5381.01","10","Medium","44051.2023228766","white","56198.97598","0"
"28294","66","M","1","68","100166","1","0","Own","80038","11/15/2016","Tuesday","Parking Lot","0",NA,"41","Broker","0","0","1","Compact","86033.4680062086","black","26561.86551","0"
"15187","35","M","1","91","65817","1","0","Own","20165","4/27/2015","Monday","Parking Lot","0",NA,"2","Phone","1","0","5","Large","15000","black","20180.13319","0"
"10565","46","M","1","38","110984","1","1","Own","50042","7/7/2015","Tuesday","Highway","8",NA,"92","Phone","1","3668.62","1","Large","58112.5725383552","gray","33293.05956","0"
"9896","53","M","1","50","75089","1","1","Own","80011","12/28/2015","Monday","Highway","5",NA,"5","Phone","0","1709.11","1","Medium","29245.8269492866","blue","45913.50493","0"
"27461","30","M","1","52","40807","1","0","Own","80110","2/26/2015","Thursday","Local","6",NA,"30","Broker","1","7364.14","1","Medium","100939.570737915","red","13671.13845","0"
"21375","31","M","1","45","96546","0","1","Own","50002","10/23/2016","Sunday","Local","0",NA,"100","Phone","0","0","4","Medium","15000","other","12862.40342","0"
"23235","29","M","1","69","48305","1","0","Rent","80044","2/22/2016","Monday","Highway","0",NA,"1","Online","1","0","1","Medium","19655.586279072","red","9319.196953","0"
"16466","39","F","1","81","118498","1","1","Own","80011","4/3/2016","Sunday","Local","1",NA,"5","Phone","1","10478.9","5","Medium","40494.6362048615","white","10847.67138","0"
"2410","53","F","1","62","123524","1","0","Own","20102","3/23/2015","Monday","Highway","0",NA,"64","Phone","1","1905.29","3","Medium","15000","other","10966.0267","1"
"2724","38","M","1","87","65556","0","1","Own","15009","7/23/2016","Saturday","Local","0",NA,"46","Broker","1","5917.69","1","Compact","19073.3524579098","silver","11860.56139","0"
"18799","65","F","1","91","40533","1","1","Rent","85013","6/22/2015","Monday","Local","0",NA,"17","Broker","0","0","1","Large","17704.058355502","red","18237.07818","0"
"11137","44","M","0","78","89248","1","1","Rent","15024","12/7/2015","Monday","Parking Lot","10",NA,"95","Phone","1","7212.11","1","Compact","17920.7198948755","blue","25917.70255","0"
"27463","57","M","0","47","80069","0","0","Own","50002","8/22/2015","Saturday","Parking Lot","0",NA,"81","Broker","0","0","2","Large","15000","silver","25888.38659","0"
"20813","40","M","1","47","94469","1","0","Own","15001","6/29/2015","Monday","Parking Lot","0",NA,"93","Broker","1","0","1","Compact","31520.9556830884","blue","8531.613179","0"
"13896","48","F","0","82","120519","1","1","Rent","85004","4/5/2016","Tuesday","Local","0",NA,"72","Broker","0","977.48","1","Compact","64739.8368527323","black","12209.33519","1"
"26092","30","M","1","73","33531","1","1","Rent","15032","7/31/2015","Friday","Local","4",NA,"2","Phone","1","2733.9","1","Medium","20351.9973814081","blue","31475.99245","0"
"10840","38","F","1","97","66065","1","1","Own","85010","4/3/2015","Friday","Parking Lot","0",NA,"99","Phone","0","0","2","Large","60290.3796712904","blue","29653.59188","0"
"20083","29","M","1","80","77211","0","0","Rent","80015","12/23/2015","Wednesday","Local","6",NA,"12","Phone","1","1690.08","10","Compact","15000","silver","15424.27545","0"
"25194","30","F","1","80","66917","1","0","Rent","20146","7/29/2016","Friday","Highway","0",NA,"99","Broker","0","0","1","Compact","34271.4513800922","white","19978.5353","0"
"29730","24","F","1","64","108244","1","0","Own","15001","7/22/2016","Friday","Parking Lot","4",NA,"91","Online","1","2158.2","1","Compact","15000","other","31384.57667","0"
"26195","43","M","1","79","35338","1","1","Rent","15006","8/2/2016","Tuesday","Local","13",NA,"95","Broker","1","0","5","Medium","51260.896965268","white","44662.80576","0"
"8991","53","F","1","68","74548","0","0","Own","15047","6/7/2015","Sunday","Local","0",NA,"70","Broker","0","5455.44","3","Large","15000","other","34118.99992","0"
"25754","35","F","0","69","71929","0","1","Rent","20141","1/7/2016","Thursday","Local","12",NA,"22","Phone","1","0","1","Large","80903.7212977451","black","41845.32292","0"
"25905","73","F","1","66","61684","1","1","Rent","50035","7/15/2015","Wednesday","Parking Lot","0",NA,"14","Phone","0","0","1","Medium","21582.9026534836","silver","37346.00352","0"
"4783","53","F","1","36","89773","0","0","Own","85030","11/8/2015","Sunday","Highway","7",NA,"49","Broker","1","11597.59","10","Compact","37131.9481341156","white","18849.73741","0"
"1542","49","F","1","39","53783","0","1","Rent","20124","1/23/2015","Friday","Local","0",NA,"98","Online","1","570.08","1","Compact","62398.3408372756","other","20932.77119","0"
"13336","38","F","0","89","82997","1","0","Own","80109","2/25/2016","Thursday","Parking Lot","0",NA,"25","Online","1","0","4","Medium","15000","blue","15850.26097","0"
"8559","65","M","0","97","108961","0","1","Own","85005","9/22/2015","Tuesday","Parking Lot","0",NA,"84","Broker","1","0","1","Large","43509.7779445457","silver","19162.20348","0"
"19090","43","F","0","87","114145","1","0","Rent","20160","1/27/2016","Wednesday","Local","4",NA,"62","Broker","1","0","10","Medium","15000","red","27154.42354","0"
"22791","43","M","1","75","79993","0","0","Own","15021","7/24/2016","Sunday","Parking Lot","1",NA,"23","Phone","1","0","1","Large","15000","black","23655.75598","0"
"9245","48","M","1","88","34308","0","1","Rent","50054","11/8/2016","Tuesday","Highway","0",NA,"33","Broker","1","0","1","Compact","103139.792621851","black","18353.14777","0"
"26206","30","F",NA,"64","44229","1","1","Rent","15015","7/13/2015","Monday","Parking Lot","2","0","99","Phone","0","3434.43","1","Large","21085.8029904973","other","17349.73058","1"
"27821","36","F","1","88","69221","1","1","Rent","15025","1/22/2015","Thursday","Parking Lot","2",NA,"5","Broker","0","4124.92","10","Large","15000","red","56381.03274","0"
"4278","48","F","1","97","82756","1","0","Rent","20141","1/28/2016","Thursday","Highway","0",NA,"5","Broker","1","0","1","Large","42164.2504784523","silver","20784.99724","0"
"11958","42","F","0","59","56268","1","1","Own","50021","9/18/2016","Sunday","Local","0",NA,"90","Phone","0","0","1","Medium","15000","blue","57466.43457","1"
"18261","40","F","0","77","122774","0","0","Own","50005","6/18/2015","Thursday","Local","0",NA,"64","Broker","1","0","1","Compact","78639.8999158471","white","33570.37611","0"
"27262","50","M","1","78","82523","1","1","Own","80005","5/5/2016","Thursday","Highway","0",NA,"95","Broker","1","1692.89","1","Medium","15000","other","31270.72725","0"
"11674","50","M","1","73","118274","1","1","Own","50059","12/4/2016","Sunday","Parking Lot","9",NA,"7","Broker","0","324.93","3","Large","20786.4669322861","red","38016.74618","0"
"20902","38","F","1","94","74006","0","0","Own","50009","9/28/2015","Monday","Local","0",NA,"74","Broker","0","2919.75","1","Medium","19685.2316546689","black","21411.99058","0"
"8927","52","F","1","61","31737","0","0","Own","85078","6/26/2015","Friday","Highway","0",NA,"38","Broker","0","1680.56","1","Large","33306.2534365226","red","25911.46214","0"
"18750","33","M","1","69","93435","1","0","Rent","80030","4/10/2016","Sunday","Local","3",NA,"98","Broker","0","787.46","5","Compact","15000","black","21754.55211","1"
"3154","50","M","1","64","41498","1","0","Rent","50038","1/13/2015","Tuesday","Local","3",NA,"41","Phone","1","4587.22","14","Large","27367.127899096","blue","77823.28759","0"
"7390","41","M","1","77","93622","1","1","Own","80040","7/16/2016","Saturday","Local","0",NA,"76","Broker","1","1320.75","11","Medium","25937.8623212649","gray","21808.49912","0"
"1516","41","M","0","94","114678","1","0","Own","85013","5/10/2016","Tuesday","Parking Lot","14",NA,"25","Phone","1","0","1","Medium","74429.1219673337","black","14192.78995","0"
"25937","48","M","1","82","115737","0","0","Own","15024","9/11/2016","Sunday","Parking Lot","0",NA,"25","Broker","0","0","1","Compact","15000","white","11195.51979","0"
"3957","56","M","1","86","78675","1","0","Rent","85018","2/20/2015","Friday","Local","0",NA,"2","Phone","0","1075.51","1","Large","30375.6768758408","red","29975.55702","0"
"28593","51","F","1","79","30268","1","1","Rent","50047","6/8/2015","Monday","Local","0",NA,"28","Broker","1","3516.63","2","Compact","15000","red","14031.98998","0"
"15577","75","M","1","96","35226","0","0","Rent","50013","12/1/2016","Thursday","Local","0",NA,"99","Broker","1","2769.91","1","Compact","51381.5556532757","red","33933.25451","1"
"3638","43","F","1","48","31152","1","0","Own","85019","11/15/2016","Tuesday","Highway","1",NA,"7","Phone","0","550.05","1","Large","43468.3508906443","gray","11347.07226","0"
"14467","35","F","1","69","86132","1","1","Own","85038","9/5/2015","Saturday","Local","4",NA,"49","Broker","0","0","1","Large","15000","white","20858.85146","0"
"26009","39","M","1","82","50654","1","0","Own","50049","7/28/2016","Thursday","Local","0",NA,"94","Broker","0","0","1","Medium","16761.2967001438","gray","38330.05473","1"
"21154","27","M","1","79","98326","0","1","Rent","15021","11/8/2015","Sunday","Local","0",NA,"18","Online","0","0","1","Medium","47986.6293220848","gray","39115.81632","0"
"10069","49","F","0","84","122782","1","1","Own","50003","10/7/2015","Wednesday","Parking Lot","0",NA,"79","Phone","1","0","7","Medium","25326.6159795173","silver","11888.81357","0"
"13002","28","F","0","89","98132","0","1","Rent","20163","9/17/2015","Thursday","Local","0",NA,"66","Phone","1","6496.83","1","Large","64818.3635803396","other","20620.79777","0"
"22650","52","F","1","91","113693","1","1","Own","50012","1/14/2015","Wednesday","Local","0",NA,"50","Broker","1","2328.09","1","Medium","22483.9762284274","blue","28656.80973","0"
"11242","58","F","0","69","37483","1","1","Own","80021","7/17/2016","Sunday","Highway","13",NA,"44","Broker","1","4389.31","1","Compact","60190.0063265322","other","26102.39407","0"
"22709","73","M","0","82","36174","1","1","Rent","85042","9/29/2015","Tuesday","Highway","0",NA,"93","Broker","1","4728.9","1","Medium","57329.6968229569","silver","16341.51119","0"
"21120","81","M","0","52","36987","1","1","Rent","50052","4/27/2016","Wednesday","Local","0",NA,"37","Broker","1","0","1","Compact","15000","other","18522.34403","0"
"24230","36","M","1","77","112012","0","1","Rent","50055","4/13/2016","Wednesday","Parking Lot","0",NA,"64","Broker","0","0","1","Compact","54240.1191787238","white","33200.78221","0"
"20144","42","F","1","71","48021","0","0","Rent","80038","4/17/2016","Sunday","Parking Lot","20",NA,"1","Phone","1","0","1","Large","21333.6064647342","black","28314.90908","0"
"13681","44","M","0","44","32106","1","1","Own","15025","8/25/2016","Thursday","Highway","0",NA,"69","Online","1","0","1","Large","69928.0961907713","blue","18277.72925","0"
"5058","48","M","0","56","46536","1","1","Own","50031","6/15/2015","Monday","Local","1",NA,"3","Broker","1","0","1","Compact","15000","red","29858.36031","0"
"29140","52","M","0","66","92152","1","0","Rent","80107","11/28/2016","Monday","Parking Lot","11",NA,"65","Phone","1","0","1","Medium","15000","blue","31383.90732","0"
"25532","31","F","1","69","41992","0","1","Rent","80022","5/6/2015","Wednesday","Local","0",NA,"1","Broker","1","0","1","Large","29948.2926791049","silver","11817.40843","0"
"26723","27","M","1","69","55035","1","1","Rent","50027","11/22/2016","Tuesday","Local","0",NA,"4","Broker","1","0","1","Medium","39367.0777937117","blue","34615.09437","0"
"21426","49","M","1","86","75069","1","1","Rent","50055","11/22/2015","Sunday","Local","0",NA,"50","Broker","1","2271.08","1","Compact","15000","red","30389.07584","0"
"28930","30","F","1","79","89237","1","0","Own","80002","10/30/2015","Friday","Parking Lot","0",NA,"50","Broker","1","3554.72","1","Compact","15000","white","50212.41738","0"
"4118","54","F","0","70","107638","1","1","Own","85054","2/3/2015","Tuesday","Highway","0",NA,"25","Broker","0","4889.26","7","Medium","24617.4612529477","red","58727.72879","1"
"4560","33","M","1","66","35942","1","0","Rent","80016","8/8/2015","Saturday","Local","0",NA,"99","Broker","1","0","1","Compact","24883.8903544513","gray","18796.02101","0"
"2611","34","F","1","61","75007","1","1","Rent","80011","12/7/2016","Wednesday","Local","0",NA,"0","Phone","0","3508.64","1","Large","15000","black","26186.8087","1"
"7779","37","F","1","81","120302","1","1","Rent","50047","2/9/2016","Tuesday","Parking Lot","0",NA,"6","Phone","1","0","1","Compact","15000","blue","5619.124845","0"
"24533","51","F","1","77","120733","1","1","Rent","15010","6/11/2016","Saturday","Parking Lot","7",NA,"49","Phone","1","5236.7","1","Medium","61921.6309425141","gray","30342.22905","0"
"13980","27","F","0","27","108894","0","0","Rent","15020","5/10/2015","Sunday","Parking Lot","0",NA,"17","Online","1","2336.15","1","Compact","15000","gray","15512.37955","0"
"22974","39","F","0","80","49744","0","1","Own","80002","8/15/2016","Monday","Highway","7",NA,"60","Broker","1","3628.83","1","Medium","24223.4785343451","other","34689.80318","1"
"277","52","M","1","50","118113","1","0","Rent","80031","5/22/2015","Friday","Parking Lot","0",NA,"8","Phone","0","0","2","Medium","15000","blue","26202.70858","0"
"29681","54","M","1","65","47870","1","1","Own","50050","12/23/2016","Friday","Local","3",NA,"97","Phone","0","0","1","Medium","21754.9428831693","silver","14859.564","0"
"772","27","F","1","92","66580","1","0","Own","80034","1/12/2016","Tuesday","Local","0",NA,"10","Online","1","0","1","Medium","15000","red","13747.13776","1"
"21142","40","F","0","59","93857","1","1","Rent","15049","2/13/2015","Friday","Parking Lot","3",NA,"97","Broker","1","3223.75","5","Compact","35778.5054131476","blue","27873.67831","1"
"9088","56","F","1","58","90261","1","1","Own","85015","11/29/2015","Sunday","Highway","0",NA,"88","Broker","0","0","6","Medium","15000","silver","17222.70907","0"
"12890","41","F","1","73","114852","0","0","Own","20144","8/25/2015","Tuesday","Parking Lot","1",NA,"93","Phone","1","0","1","Compact","43150.526324775","red","26320.03348","0"
"17422","45","M","1","96","101889","0","0","Rent","20112","6/21/2015","Sunday","Parking Lot","0",NA,"56","Phone","1","0","1","Large","33040.0437172002","other","23432.19072","0"
"6252","30","M","0","70","34441","1","0","Own","20119","11/10/2015","Tuesday","Parking Lot","0",NA,"99","Phone","1","0","1","Medium","15000","other","10102.86163","0"
"18451","42","F","1","61","104774","1","1","Rent","85074","8/13/2015","Thursday","Local","0",NA,"23","Broker","1","0","1","Medium","15000","white","34074.59879","0"
"1377","40","M","0","65","113114","0","0","Own","85030","3/20/2016","Sunday","Local","0",NA,"50","Broker","0","0","1","Medium","17494.3169924726","silver","6122.53118","0"
"27735","44","F","0","83","104484","0","0","Own","80035","8/28/2015","Friday","Local","0",NA,"19","Broker","1","0","1","Compact","46870.2566349901","gray","35120.92309","1"
"16906","38","M","1","47","36426","0","1","Rent","85024","1/29/2016","Friday","Local","0",NA,"10","Broker","0","0","14","Medium","46375.5309378342","red","15446.44702","0"
"22805","34","M","1","45","62503","1","1","Own","50047","6/7/2016","Tuesday","Local","0",NA,"38","Online","1","0","1","Large","15000","black","17877.59752","0"
"24346","54","M","0","86","114322","1","1","Own","15022","8/14/2016","Sunday","Highway","0",NA,"93","Broker","1","0","1","Large","15000","white","20379.33955","0"
"26343","39","M","1","73","89696","0","0","Own","20128","7/12/2016","Tuesday","Highway","0",NA,"87","Broker","0","0","1","Large","15000","blue","36062.9259","0"
"17659","58","F","1","91","105126","1","1","Own","85043","8/15/2016","Monday","Local","0",NA,"33","Online","1","0","2","Large","15000","other","27106.07113","0"
"25326","59","M","1","79","94794","0","1","Own","85006","2/18/2016","Thursday","Local","0",NA,"69","Broker","1","0","1","Large","15000","other","23548.21552","0"
"2431","41","M","1","91","76711","1","1","Own","85048","7/1/2015","Wednesday","Local","4",NA,"53","Broker","1","3140.8","4","Medium","15000","silver","23324.47627","0"
"18156","31","M","0","26","33205","1","0","Own","50013","1/22/2016","Friday","Local","3",NA,"97","Online","1","9954.52","1","Compact","44968.8701269268","red","35778.86141","0"
"823","29","F","0","65","114944","0","0","Rent","15012","1/2/2015","Friday","Local","11",NA,"13","Online","1","355.01","1","Large","15000","gray","28688.14726","0"
"29401","55","F","0","71","43960","1","1","Rent","20128","11/30/2015","Monday","Local","2",NA,"36","Phone","1","0","7","Compact","19955.944244163","other","33927.05081","0"
"28427","43","F","1","86","60118","1","1","Rent","85030","9/11/2016","Sunday","Local","0",NA,"34","Broker","1","0","1","Compact","30039.8588887279","other","19015.15835","0"
"1907","94","F","0","82","116441","0","1","Own","80046","3/2/2016","Wednesday","Highway","15",NA,"21","Broker","0","12580.28","1","Medium","68193.0736735042","black","16914.07647","0"
"21834","53","M","0","88","87587","1","0","Rent","20158","11/15/2015","Sunday","Highway","0",NA,"69","Broker","1","336.01","1","Compact","30310.6042106093","gray","13298.08747","0"
"19130","26","M","1","81","47011","1","1","Rent","85017","6/20/2015","Saturday","Highway","0",NA,"64","Online","1","0","1","Medium","67923.9313761517","black","13052.03813","0"
"7806","40","F","1","83","48469","0","0","Rent","50051","7/19/2016","Tuesday","Parking Lot","0",NA,"9","Phone","0","1886.3","1","Large","15000","black","33543.97429","0"
"10717","50","F","0","91","121340","1","0","Own","50022","8/16/2016","Tuesday","Parking Lot","0",NA,"22","Broker","1","0","1","Medium","46788.5217042709","other","46596.13467","0"
"4390","44","F","1","83","56966","0","0","Own","50038","6/13/2016","Monday","Local","6",NA,"51","Broker","1","0","1","Compact","18519.3349092701","blue","12239.38488","0"
"11838","35","F","1","87","90883","1","1","Rent","80108","6/14/2016","Tuesday","Local","0",NA,"56","Online","1","0","1","Large","15000","black","32433.50983","0"
