claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,zipcode,city,state,county,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income,land_area_in_sqmi
23991,47,M,1.0,43,108888,1,1,Own,85022,12/15/2016,Thursday,Parking Lot,0,0.0,13,Broker,0,3995.36,7,Large,15000.0,other,15800.7448,0,85022,Phoenix,AZ,Maricopa County,46395.0,4959.0,22923.0,20596.0,176900.0,45606.0,9.36
19512,59,F,1.0,91,110812,1,1,Own,85078,4/20/2015,Monday,Local,0,0.0,41,Broker,1,0.0,4,Compact,48796.87561,red,23175.18071,0,85078,Phoenix,AZ,Maricopa County,,,,,,,
25021,41,M,1.0,70,92973,0,0,Rent,85034,2/28/2015,Saturday,Local,14,0.0,50,Phone,1,0.0,11,Large,15000.0,red,23605.10513,1,85034,Phoenix,AZ,Maricopa County,5582.0,489.0,2062.0,1629.0,123000.0,19509.0,11.42
22205,31,M,1.0,86,92834,0,1,Own,20164,2/19/2016,Friday,Highway,9,0.0,69,Broker,1,606.92,1,Medium,15000.0,other,22086.44797,1,20164,Sterling,VA,Loudoun County,37747.0,5094.0,12565.0,12036.0,299400.0,87288.0,7.41
26101,48,M,1.0,89,89906,1,0,Own,15033,12/2/2015,Wednesday,Highway,0,0.0,47,Broker,1,5122.01,1,Large,15000.0,black,17695.01417,0,15033,Donora,PA,Washington County,4910.0,2203.0,2771.0,2153.0,55700.0,31107.0,2.23
2447,58,M,1.0,73,35649,1,0,Rent,20132,8/20/2016,Saturday,Parking Lot,14,0.0,81,Broker,1,1136.73,1,Compact,34786.85982,red,27563.54692,0,20132,Purcellville,VA,Loudoun County,15900.0,192.0,5466.0,5154.0,470800.0,129180.0,82.91
18874,62,F,1.0,96,55856,1,1,Own,20152,8/23/2015,Sunday,Parking Lot,0,1.0,0,Broker,1,1916.13,1,Compact,15000.0,gray,21797.50318,0,20152,Chantilly,VA,Loudoun County,24946.0,1002.0,7876.0,7624.0,517000.0,144250.0,24.89
13168,50,M,1.0,73,99220,1,1,Rent,80002,3/26/2015,Thursday,Highway,18,0.0,63,Broker,1,1302.25,13,Medium,15000.0,silver,35564.86548,0,80002,Arvada,CO,Jefferson County,18020.0,2929.0,8365.0,7892.0,200000.0,50425.0,6.15
1872,44,F,0.0,69,43182,0,0,Own,85018,10/6/2015,Tuesday,Local,0,0.0,76,Broker,0,0.0,1,Compact,78576.37705,blue,10820.43667,1,85018,Phoenix,AZ,Maricopa County,36065.0,3245.0,19231.0,16763.0,344900.0,52389.0,11.11
19673,47,M,1.0,53,83923,0,1,Own,80011,5/8/2015,Friday,Local,0,0.0,50,Broker,1,8020.52,1,Medium,100192.4775,white,12325.49515,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
17224,46,F,1.0,90,62666,0,1,Rent,20152,4/22/2016,Friday,Parking Lot,2,1.0,100,Broker,1,0.0,13,Compact,30203.14336,other,21249.2847,0,20152,Chantilly,VA,Loudoun County,24946.0,1002.0,7876.0,7624.0,517000.0,144250.0,24.89
11974,34,F,1.0,89,33337,1,0,Rent,20131,6/16/2015,Tuesday,Local,4,0.0,60,Broker,0,0.0,1,Medium,15000.0,red,20418.65669,0,20131,Philomont,VA,Loudoun County,,,,,,,
419,23,M,1.0,62,91385,1,1,Rent,80030,8/2/2015,Sunday,Local,0,0.0,69,Online,1,3849.37,1,Large,44895.04386,gray,8576.747176,0,80030,Westminster,CO,Adams County,15329.0,5814.0,6381.0,5983.0,163600.0,39494.0,2.64
11124,57,F,1.0,88,83116,1,1,Own,50001,1/18/2015,Sunday,Highway,0,0.0,98,Broker,1,0.0,1,Large,15000.0,silver,8777.104216,0,50001,Ackworth,IA,Warren County,680.0,28.0,289.0,252.0,157000.0,46908.0,23.99
1214,34,M,1.0,91,103597,0,1,Rent,15059,10/14/2015,Wednesday,Local,10,1.0,33,Broker,1,0.0,9,Medium,21118.10721,gray,16819.07381,0,15059,Midland,PA,Beaver County,4193.0,298.0,2096.0,1813.0,81200.0,35707.0,14.08
12431,44,M,1.0,64,60604,1,1,Own,85068,11/7/2016,Monday,Parking Lot,19,0.0,88,Phone,0,0.0,1,Large,36580.63736,silver,14633.77049,0,85068,Phoenix,AZ,Maricopa County,,,,,,,
15626,31,M,0.0,86,46061,1,0,Own,20121,9/11/2016,Sunday,Local,5,0.0,83,Broker,0,0.0,8,Large,70686.32662,red,22254.32271,0,20121,Centreville,VA,Fairfax County,27988.0,3238.0,10357.0,9896.0,330700.0,92115.0,8.64
7161,40,F,1.0,81,124779,1,0,Rent,85071,3/22/2016,Tuesday,Local,0,0.0,97,Broker,0,10575.87,11,Large,15736.40704,silver,25426.55061,0,85071,Phoenix,AZ,Maricopa County,,,,,,,
11633,66,M,1.0,78,70593,1,1,Rent,80014,1/19/2015,Monday,Local,18,0.0,49,Online,1,3892.51,1,Compact,15000.0,blue,16194.0599,0,80014,Aurora,CO,Arapahoe County,36710.0,5201.0,18960.0,17459.0,174200.0,46073.0,7.06
2500,55,F,1.0,57,53823,1,1,Own,80109,8/22/2016,Monday,Local,5,0.0,81,Online,1,0.0,1,Compact,15000.0,other,50159.58494,0,80109,Castle Rock,CO,Douglas County,17219.0,653.0,5778.0,5529.0,325200.0,108781.0,26.37
27289,38,M,1.0,77,102835,1,0,Own,80011,9/8/2016,Thursday,Parking Lot,0,0.0,51,Broker,1,1041.65,3,Large,15000.0,blue,11806.88752,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
21953,52,F,1.0,87,111190,1,1,Own,85083,3/7/2016,Monday,Parking Lot,0,0.0,26,Phone,0,0.0,1,Large,15000.0,blue,9727.427358,0,85083,Phoenix,AZ,Maricopa County,18104.0,1838.0,6293.0,5871.0,281000.0,105101.0,9.85
10109,43,F,1.0,66,97677,1,1,Rent,15050,2/17/2015,Tuesday,Parking Lot,0,0.0,45,Phone,1,0.0,9,Large,64401.27926,silver,6978.143205,0,15050,Hookstown,PA,Beaver County,2431.0,104.0,973.0,912.0,150600.0,53587.0,23.41
29857,50,M,1.0,90,48065,1,0,Own,20101,3/26/2016,Saturday,Highway,0,1.0,82,Broker,1,4562.12,1,Large,15000.0,black,11568.43153,0,20101,Dulles,VA,Loudoun County,,,,,,,
16904,46,F,1.0,71,68441,1,1,Own,20116,10/20/2016,Thursday,Local,8,0.0,18,Phone,0,0.0,1,Large,15000.0,silver,21686.07371,0,20116,Marshall,VA,Fauquier County,,,,,,,
10733,39,F,1.0,88,124193,1,1,Own,20119,4/22/2015,Wednesday,Local,0,0.0,98,Phone,0,0.0,1,Compact,28745.61589,white,7695.764341,0,20119,Catlett,VA,Fauquier County,3946.0,62.0,1515.0,1399.0,341500.0,111339.0,63.86
4841,73,F,1.0,71,98053,1,1,Rent,85083,11/6/2015,Friday,Parking Lot,0,0.0,30,Phone,1,0.0,1,Large,15000.0,other,22641.78549,0,85083,Phoenix,AZ,Maricopa County,18104.0,1838.0,6293.0,5871.0,281000.0,105101.0,9.85
2913,69,F,1.0,67,111897,1,0,Rent,80011,1/18/2015,Sunday,Parking Lot,3,0.0,22,Phone,1,943.2,1,Large,29220.92954,black,22513.37434,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
17998,54,M,1.0,84,37154,0,1,Rent,20107,7/3/2016,Sunday,Parking Lot,0,0.0,18,Broker,1,0.0,1,Large,15000.0,gray,30535.41761,0,20107,Arcola,VA,Loudoun County,,,,,,,
6370,43,M,1.0,94,40156,1,1,Own,15001,7/8/2015,Wednesday,Local,7,0.0,42,Broker,1,0.0,7,Large,23802.52061,gray,44367.34346,0,15001,Aliquippa,PA,Beaver County,31964.0,532.0,14820.0,13404.0,111200.0,51424.0,60.05
1039,46,M,1.0,70,86849,0,0,Own,80047,9/17/2016,Saturday,Local,0,0.0,84,Online,1,5166.43,1,Compact,15000.0,black,19396.73436,0,80047,Aurora,CO,Arapahoe County,,,,,,,
7932,39,F,0.0,90,70624,1,1,Own,80042,10/7/2015,Wednesday,Highway,0,1.0,5,Broker,1,0.0,3,Medium,30049.28293,silver,19839.79452,0,80042,Aurora,CO,Arapahoe County,,,,,,,
27162,38,M,0.0,72,62026,0,1,Rent,80030,8/29/2015,Saturday,Parking Lot,16,0.0,89,Broker,0,0.0,4,Large,15000.0,blue,16896.32439,0,80030,Westminster,CO,Adams County,15329.0,5814.0,6381.0,5983.0,163600.0,39494.0,2.64
29422,40,F,1.0,71,47142,1,1,Rent,80022,12/15/2016,Thursday,Parking Lot,0,0.0,93,Broker,1,1058.18,1,Compact,15000.0,silver,38849.62585,0,80022,Commerce City,CO,Adams County,42699.0,927.0,14343.0,13380.0,165000.0,56449.0,46.05
12544,38,M,1.0,67,48671,0,0,Rent,80001,7/5/2016,Tuesday,Parking Lot,0,0.0,0,Broker,1,0.0,1,Large,43718.8338,blue,16402.63053,0,80001,Arvada,CO,Jefferson County,,,,,,,
28871,51,F,1.0,81,39424,1,0,Own,50039,2/26/2016,Friday,Local,1,0.0,90,Phone,0,0.0,1,Compact,34810.26709,silver,21411.79046,0,50039,Bouton,IA,Dallas County,329.0,14.0,159.0,145.0,161900.0,66914.0,23.41
23077,73,M,0.0,76,107972,1,1,Own,20140,7/3/2015,Friday,Highway,3,0.0,52,Broker,0,0.0,1,Large,15000.0,red,25000.65622,0,20140,Rectortown,VA,Fauquier County,,,,,,,
13175,47,M,1.0,70,102792,1,0,Rent,20136,7/26/2015,Sunday,Local,0,0.0,96,Phone,1,38.32,2,Compact,28495.04404,gray,9515.752573,0,20136,Bristow,VA,Prince William County,28498.0,1943.0,8483.0,8294.0,374300.0,128444.0,14.67
29561,66,M,1.0,75,30894,1,0,Own,85004,2/2/2015,Monday,Local,15,1.0,59,Phone,1,4474.78,15,Large,45468.96228,white,29947.12576,0,85004,Phoenix,AZ,Maricopa County,4965.0,2434.0,2804.0,2195.0,205200.0,26008.0,2.04
5737,71,F,0.0,70,101118,0,1,Rent,20112,10/18/2015,Sunday,Highway,10,1.0,94,Phone,0,0.0,10,Medium,15000.0,blue,11045.57161,0,20112,Manassas,VA,Prince William County,25833.0,661.0,8448.0,8169.0,421200.0,139902.0,39.1
19917,51,F,1.0,88,45460,0,1,Rent,50055,4/11/2016,Monday,Highway,0,0.0,69,Broker,0,0.0,1,Medium,41127.01277,red,48040.93543,0,50055,Collins,IA,Story County,913.0,19.0,408.0,370.0,147700.0,63920.0,48.67
23903,44,M,1.0,72,109524,0,1,Own,85022,6/19/2016,Sunday,Local,0,0.0,1,Broker,0,3991.86,7,Medium,32524.28236,silver,37431.8213,1,85022,Phoenix,AZ,Maricopa County,46395.0,4959.0,22923.0,20596.0,176900.0,45606.0,9.36
28932,22,F,1.0,92,55475,1,1,Rent,50008,5/13/2015,Wednesday,Highway,11,1.0,53,Online,1,0.0,5,Medium,15000.0,blue,19550.39645,0,50008,Allerton,IA,Wayne County,878.0,10.0,429.0,368.0,55200.0,37091.0,84.87
8884,39,M,1.0,74,64578,1,1,Own,50006,12/9/2015,Wednesday,Local,0,0.0,50,Phone,0,927.53,1,Large,15000.0,gray,30192.65953,0,50006,Alden,IA,Hardin County,1676.0,14.0,761.0,696.0,80600.0,49146.0,122.63
27020,42,F,1.0,91,54244,1,1,Rent,20108,12/6/2016,Tuesday,Highway,4,0.0,50,Broker,1,0.0,1,Large,15000.0,black,13899.01434,1,20108,Manassas,VA,Manassas City,,,,,,,
12690,49,F,0.0,71,79289,1,0,Own,85004,5/8/2015,Friday,Local,0,0.0,9,Broker,1,0.0,1,Compact,36886.06503,black,19582.42969,0,85004,Phoenix,AZ,Maricopa County,4965.0,2434.0,2804.0,2195.0,205200.0,26008.0,2.04
22732,34,M,1.0,69,73910,1,1,Rent,15007,1/1/2016,Friday,Highway,0,1.0,49,Broker,1,4991.22,1,Compact,15000.0,silver,22542.57158,0,15007,Bakerstown,PA,Allegheny County,323.0,972.0,136.0,131.0,112500.0,73352.0,0.33
29682,55,F,0.0,93,52414,1,0,Own,50021,11/9/2016,Wednesday,Local,10,0.0,78,Broker,1,1945.69,1,Compact,15000.0,red,8954.550535,1,50021,Ankeny,IA,Polk County,21595.0,839.0,9017.0,8627.0,171500.0,73377.0,25.75
27029,79,M,1.0,78,110408,1,0,Own,15032,7/16/2016,Saturday,Parking Lot,0,0.0,50,Broker,1,3125.3,1,Compact,30797.66562,black,30745.5594,0,15032,Curtisville,PA,Allegheny County,,,,,,,
24547,51,F,1.0,90,122405,1,0,Rent,50048,6/3/2016,Friday,Local,0,0.0,11,Broker,1,0.0,1,Compact,15000.0,red,10424.28059,0,50048,Casey,IA,Guthrie County,861.0,10.0,423.0,347.0,78200.0,49722.0,87.37
16684,41,F,0.0,92,48621,1,0,Own,85074,5/27/2016,Friday,Parking Lot,0,0.0,93,Broker,1,2906.37,1,Compact,32511.79046,white,18163.59852,0,85074,Phoenix,AZ,Maricopa County,,,,,,,
242,51,M,1.0,63,40974,1,1,Own,50036,7/5/2015,Sunday,Parking Lot,0,0.0,80,Broker,1,0.0,1,Compact,46239.05546,silver,19582.85249,0,50036,Boone,IA,Boone County,16287.0,84.0,7459.0,6804.0,118300.0,49792.0,194.01
12620,63,M,0.0,84,38362,1,0,Own,50001,2/4/2015,Wednesday,Local,0,1.0,50,Phone,0,0.0,1,Compact,39308.70004,red,25175.50102,0,50001,Ackworth,IA,Warren County,680.0,28.0,289.0,252.0,157000.0,46908.0,23.99
27647,59,M,1.0,74,46632,1,0,Own,50037,9/29/2015,Tuesday,Highway,0,0.0,0,Phone,0,0.0,1,Large,15000.0,red,27991.71405,0,50037,Boone,IA,Boone County,,,,,,,
25276,53,M,1.0,90,61517,1,0,Own,50025,1/22/2015,Thursday,Local,12,1.0,92,Broker,0,0.0,5,Medium,93467.80536,red,41028.97196,0,50025,Audubon,IA,Audubon County,3325.0,17.0,1630.0,1421.0,68300.0,49457.0,195.92
15572,41,M,1.0,85,35052,0,1,Own,80014,2/4/2016,Thursday,Parking Lot,0,0.0,85,Broker,0,0.0,1,Medium,76030.70474,blue,15280.73673,0,80014,Aurora,CO,Arapahoe County,36710.0,5201.0,18960.0,17459.0,174200.0,46073.0,7.06
21441,31,M,1.0,83,122994,0,0,Rent,15010,2/18/2015,Wednesday,Local,29,0.0,74,Phone,0,0.0,1,Compact,15000.0,other,25761.92261,0,15010,Beaver Falls,PA,Beaver County,28425.0,568.0,12787.0,11611.0,113600.0,47993.0,50.03
19379,20,F,0.0,51,97457,1,1,Rent,20147,11/8/2016,Tuesday,Local,1,0.0,21,Online,1,2641.31,1,Medium,15734.61114,blue,24783.04768,0,20147,Ashburn,VA,Loudoun County,54086.0,2721.0,19719.0,19046.0,444000.0,122115.0,19.87
1953,25,M,1.0,57,103518,1,0,Rent,20160,9/10/2016,Saturday,Local,0,0.0,97,Phone,1,0.0,1,Large,15000.0,red,56358.56018,0,20160,Lincoln,VA,Loudoun County,,,,,,,
10744,53,M,0.0,66,112493,0,1,Own,80016,10/22/2015,Thursday,Local,0,0.0,17,Broker,0,7453.95,17,Medium,26291.96483,red,15051.53603,0,80016,Aurora,CO,Arapahoe County,41219.0,877.0,15602.0,14607.0,372400.0,101280.0,47.0
6258,41,F,1.0,79,85908,1,1,Own,20163,11/6/2015,Friday,Local,2,0.0,32,Phone,0,0.0,1,Large,42095.64284,blue,15188.90454,0,20163,Sterling,VA,Loudoun County,,,,,,,
1595,29,M,0.0,75,46106,0,1,Rent,80025,3/4/2016,Friday,Highway,0,0.0,93,Online,0,6982.86,3,Large,15146.49346,blue,38367.38199,0,80025,Eldorado Springs,CO,Boulder County,253.0,22.0,152.0,128.0,519200.0,121875.0,11.69
16943,43,M,0.0,86,84198,1,1,Own,50007,11/13/2016,Sunday,Parking Lot,0,0.0,41,Broker,0,0.0,1,Large,54869.82377,gray,49370.07231,0,50007,Alleman,IA,Polk County,474.0,89.0,167.0,166.0,173600.0,73750.0,5.32
1985,32,F,1.0,87,66261,1,0,Rent,85032,10/22/2015,Thursday,Highway,0,1.0,43,Broker,1,1231.27,1,Large,15000.0,gray,17890.90176,0,85032,Phoenix,AZ,Maricopa County,65485.0,5272.0,29594.0,25991.0,156100.0,48461.0,12.42
25192,40,M,0.0,71,46459,1,0,Rent,80023,3/24/2015,Tuesday,Local,12,0.0,82,Online,1,2619.18,1,Large,15000.0,blue,32263.19386,0,80023,Broomfield,CO,Broomfield County,15415.0,874.0,6024.0,5658.0,422500.0,110553.0,17.63
10873,33,F,0.0,78,38415,1,0,Rent,80010,3/7/2015,Saturday,Parking Lot,0,0.0,20,Broker,1,0.0,5,Medium,15000.0,silver,13584.60307,0,80010,Aurora,CO,Arapahoe County,39728.0,7204.0,14334.0,12767.0,133600.0,32527.0,5.51
26459,52,F,0.0,92,76708,1,1,Own,80034,8/7/2016,Sunday,Local,0,1.0,20,Broker,1,13185.68,11,Medium,70380.82108,gray,6121.869612,0,80034,Wheat Ridge,CO,Jefferson County,,,,,,,
1043,61,M,1.0,92,84717,1,1,Rent,20147,10/22/2015,Thursday,Parking Lot,5,1.0,8,Broker,1,4197.7,7,Compact,15000.0,silver,36246.50513,0,20147,Ashburn,VA,Loudoun County,54086.0,2721.0,19719.0,19046.0,444000.0,122115.0,19.87
28333,41,F,0.0,71,57724,1,1,Rent,85034,3/8/2016,Tuesday,Highway,0,1.0,51,Broker,1,4539.9,1,Medium,15000.0,other,36218.34643,0,85034,Phoenix,AZ,Maricopa County,5582.0,489.0,2062.0,1629.0,123000.0,19509.0,11.42
20855,40,F,1.0,77,44840,1,0,Own,15035,3/18/2015,Wednesday,Local,0,0.0,4,Phone,1,3182.42,1,Medium,38267.91219,silver,4825.85757,0,15035,East Mc Keesport,PA,Allegheny County,2129.0,5131.0,1155.0,1007.0,70500.0,40104.0,0.41
21360,34,M,0.0,64,75285,1,1,Own,50013,6/14/2015,Sunday,Local,0,1.0,50,Broker,1,5209.49,1,Compact,47636.52034,gray,14494.83609,0,50013,Ames,IA,Story County,,,,,,,
1784,25,F,1.0,91,113543,0,1,Rent,80030,6/6/2016,Monday,Parking Lot,0,1.0,1,Online,0,405.44,7,Compact,21977.3575,other,9360.960445,0,80030,Westminster,CO,Adams County,15329.0,5814.0,6381.0,5983.0,163600.0,39494.0,2.64
63,47,M,1.0,79,31073,0,0,Rent,50036,4/20/2016,Wednesday,Local,0,0.0,62,Broker,0,0.0,2,Compact,15000.0,gray,18564.19126,1,50036,Boone,IA,Boone County,16287.0,84.0,7459.0,6804.0,118300.0,49792.0,194.01
1,46,M,1.0,85,36274,1,1,Rent,80006,12/16/2016,Friday,Local,2,0.0,74,Broker,0,0.0,4,Compact,15000.0,white,16161.33381,0,80006,Arvada,CO,Jefferson County,,,,,,,
18770,45,F,1.0,68,117708,0,0,Own,50044,10/8/2016,Saturday,Local,8,0.0,89,Broker,0,0.0,8,Large,15000.0,red,27809.16711,1,50044,Bussey,IA,Marion County,887.0,19.0,403.0,355.0,91000.0,47411.0,45.74
3463,50,M,1.0,81,58209,1,0,Rent,20141,9/21/2016,Wednesday,Local,0,0.0,48,Broker,1,0.0,1,Medium,16748.84859,red,23767.17852,0,20141,Round Hill,VA,Loudoun County,6131.0,225.0,2116.0,1987.0,402400.0,124180.0,27.23
14035,34,F,1.0,55,85531,1,1,Rent,80024,10/31/2016,Monday,Highway,0,0.0,50,Phone,1,0.0,1,Medium,15000.0,white,17048.20023,0,80024,Dupont,CO,Adams County,228.0,5577.0,85.0,76.0,140300.0,41531.0,0.04
12790,47,F,1.0,25,95306,1,0,Rent,20155,9/26/2015,Saturday,Local,0,0.0,1,Phone,0,0.0,1,Large,54175.37808,blue,10202.53518,0,20155,Gainesville,VA,Prince William County,29411.0,1018.0,10357.0,9943.0,396400.0,127974.0,28.9
18374,45,M,1.0,77,90210,1,1,Own,50047,10/12/2016,Wednesday,Highway,10,0.0,99,Broker,0,0.0,1,Large,38378.24045,red,30341.72054,0,50047,Carlisle,IA,Warren County,5559.0,96.0,2208.0,2114.0,144800.0,59663.0,58.13
26882,45,F,1.0,74,108069,1,1,Own,20140,9/20/2016,Tuesday,Highway,6,1.0,100,Broker,1,0.0,1,Compact,34479.24805,other,16019.36832,1,20140,Rectortown,VA,Fauquier County,,,,,,,
2145,71,F,1.0,88,86200,1,1,Own,15014,10/3/2015,Saturday,Highway,0,0.0,29,Online,0,4749.94,1,Large,15000.0,red,34579.75368,0,15014,Brackenridge,PA,Allegheny County,3184.0,6264.0,1617.0,1423.0,72000.0,43500.0,0.51
24129,44,M,1.0,89,116637,0,0,Rent,80021,1/24/2015,Saturday,Highway,3,1.0,93,Broker,0,4193.34,7,Large,64585.52558,other,15347.05517,0,80021,Broomfield,CO,Jefferson County,30051.0,1822.0,13183.0,12482.0,231900.0,71221.0,16.49
5853,69,F,1.0,97,94279,0,0,Own,15043,7/12/2015,Sunday,Local,13,1.0,97,Broker,1,0.0,9,Compact,22239.91741,blue,60476.37034,0,15043,Georgetown,PA,Beaver County,2458.0,75.0,953.0,900.0,147700.0,65625.0,32.71
3666,29,F,1.0,79,113230,0,1,Rent,15033,8/13/2016,Saturday,Local,0,0.0,31,Online,0,0.0,2,Compact,18348.9425,silver,20707.49143,0,15033,Donora,PA,Washington County,4910.0,2203.0,2771.0,2153.0,55700.0,31107.0,2.23
11607,59,M,1.0,73,36142,1,0,Own,50047,5/6/2016,Friday,Local,3,0.0,76,Broker,0,8738.6,1,Large,32637.9427,black,35050.17576,0,50047,Carlisle,IA,Warren County,5559.0,96.0,2208.0,2114.0,144800.0,59663.0,58.13
29593,30,M,1.0,80,83651,1,0,Own,50029,11/11/2016,Friday,Local,19,0.0,53,Phone,1,2361.04,1,Large,77469.64111,other,35279.73791,0,50029,Bayard,IA,Guthrie County,691.0,17.0,339.0,294.0,57300.0,49891.0,40.53
606,51,F,1.0,76,83175,0,0,Rent,85078,11/30/2015,Monday,Highway,0,0.0,87,Phone,0,0.0,1,Compact,15000.0,other,20057.86217,0,85078,Phoenix,AZ,Maricopa County,,,,,,,
14743,43,F,1.0,78,92100,1,1,Rent,80033,8/31/2015,Monday,Parking Lot,11,0.0,25,Broker,0,0.0,1,Medium,15000.0,gray,6988.638747,0,80033,Wheat Ridge,CO,Jefferson County,23969.0,2894.0,11817.0,11134.0,235000.0,47841.0,8.28
13061,46,F,1.0,73,112123,1,1,Own,80016,4/2/2015,Thursday,Highway,0,0.0,23,Phone,1,4914.97,1,Medium,15000.0,other,34779.09257,0,80016,Aurora,CO,Arapahoe County,41219.0,877.0,15602.0,14607.0,372400.0,101280.0,47.0
2272,46,M,1.0,45,51970,0,1,Own,85066,1/11/2015,Sunday,Highway,16,1.0,40,Phone,1,0.0,11,Compact,15000.0,blue,31712.44366,0,85066,Phoenix,AZ,Maricopa County,,,,,,,
1879,37,F,1.0,66,77801,0,1,Rent,20135,2/19/2015,Thursday,Local,0,1.0,84,Broker,1,0.0,5,Medium,72553.44754,red,19325.83466,0,20135,Bluemont,VA,Clarke County,2834.0,64.0,1349.0,1157.0,363100.0,90083.0,44.56
17684,39,F,1.0,70,47523,0,1,Own,20101,9/8/2015,Tuesday,Local,2,0.0,25,Broker,0,3465.36,2,Medium,15000.0,other,30553.11315,0,20101,Dulles,VA,Loudoun County,,,,,,,
3039,72,M,1.0,87,92998,1,0,Own,20107,3/14/2015,Saturday,Local,8,0.0,86,Phone,0,8252.23,1,Compact,15000.0,silver,21680.56243,0,20107,Arcola,VA,Loudoun County,,,,,,,
21431,40,F,1.0,87,101200,0,1,Own,80022,8/27/2015,Thursday,Local,1,1.0,97,Phone,0,0.0,1,Large,15000.0,silver,14379.80022,0,80022,Commerce City,CO,Adams County,42699.0,927.0,14343.0,13380.0,165000.0,56449.0,46.05
27420,38,M,1.0,88,38937,1,1,Own,50009,4/22/2015,Wednesday,Local,0,1.0,50,Phone,1,2136.03,1,Large,15000.0,black,12299.16044,0,50009,Altoona,IA,Polk County,16136.0,641.0,6319.0,6050.0,157700.0,64798.0,25.16
14738,51,F,1.0,72,93542,1,1,Rent,15006,1/27/2015,Tuesday,Highway,15,0.0,70,Broker,1,2533.94,16,Medium,15000.0,black,22098.63506,0,15006,Bairdford,PA,Allegheny County,240.0,975.0,118.0,108.0,71300.0,50114.0,0.25
